TableName,Tender_def
1,CASH
2,AMEX
3,VISA
4,MASTERCARD
5,DINERS
6,DISCOVER
7,JCB
8,GIFT CERTIFICATE
9,CITY LEDGER
10,BAR CARD
11,ADMIN COMP
12,WANTIX
13,HK GIFT CERT
14,GROUP via RmChg
15,ADV DEP APPLIED
16,CROWD SURGE
17,ADV DEP RECEIVED
18,TEST CC
19,Master Group
20,VENUE DRIVER(1)
21,TICKET VIBE
22,ADMIN COMP New
27,COMP SLIP
28,BALLYS ROOM
29,CAESARS ROOM
30,FLAMINGO ROOM
31,zzzMGM ROOM
32,zzzBELLAGIO ROOM
34,zzzMIRAGE ROOM
35,zzzMIRAGE INC
38,zzzNYNY ROOM
49,HARRAHS ROOM
50,PARIS ROOM
74,zzzSIG ROOM
80,RIO ROOM
81,LINQ ROOM
82,CROMWELL ROOM
83,PH ROOM
85,COMP SLIP NEW
90,QUICK REWARDS
92,zzzLUXOR ROOM
93,zzzMONTE ROOM
94,zzzMANDALAY  RM
95,zzzEXCALIBU ROOM
96,zzzCIRCUS RM
104,zzzMGM MANUAL RM
110,DEPOSIT NITECLUB
175,zzzARIA ROOM
176,zzzVDARA ROOM
177,zzzMANDARIN ROOM
178,COMP TIP
206,zzzSELF COMP LE
207,zzzOFFICER  LSD
208,zzzPLAYERS CARD
209,zzzCOMP SLIP
210,MANUAL COMP
230,BOTTLE COMP
231,DRINK TICKET
232,WRIST BAND
233,SPILL/WASTE
234,AMG EXEC COMP
235,MANAGER COMP
236,PR COMP
237,TALENT COMP
238,PROMO COMP
239,RESTAURANT COMP
240,BILL BACK
241,CC TRAINING
242,MANAGER ERROR
243,WRISTBAND COMP
244,EMV VISA
245,EMV AMEX
246,EMV MC
248,EMV DISCOVER 
